OrigemDados;HoraDev;DataDev;UltimoAlerta;UltimoAlarme;timestamp;AlertaCritico;RegistrodeGas;Vaza/minuto;Hora;IP;Data
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
null;null;null;null;null;null;null;1.2345681E7;0.0;11:59:53;192.168.153.7;25/08/2025
