WiFi.RSSI;Ptot;ConsHora;ConsHoraP;Ia_n;Ib_n;Ic_n;NCRC;NSerie;Envio;Lendo;Va_n;Vb_n;Vc_n;Va_b;Vb_c;Vc_a;ConsDiaP;EAkWh;VFreq;HdDev;Erro%
-76.0;83.37716;2.44E-4;77.881;139.6638;157.3129;143.5531;CRC Ok;Teste4;59105.0;0.0;216.6475;216.7298;217.8725;375.0346;377.5857;374.7383;2108.243;2108.243;59.95675;08:54:03 - 29/08/2025;0.0
-78.0;85.46055;2.44E-4;78.125;149.5622;164.6855;145.0564;CRC Ok;Teste4;59107.0;0.0;216.8767;216.6998;218.1825;375.3248;377.904;375.0772;2108.243;2108.243;59.98376;08:54:14 - 29/08/2025;0.0
-76.0;83.14922;2.44E-4;78.369;148.0269;174.5318;150.1254;CRC Ok;Teste4;59108.0;0.0;216.8767;216.6998;218.2077;375.1485;377.8868;374.9695;2108.243;2108.243;60.00229;08:54:20 - 29/08/2025;0.0
-77.0;86.03256;2.44E-4;78.369;158.8073;173.0528;148.1138;CRC Ok;Teste4;59109.0;0.0;217.0545;216.8297;218.1382;374.8546;377.5712;374.7659;2108.243;2108.243;60.01958;08:54:25 - 29/08/2025;0.0
-74.0;92.0273;2.44E-4;78.613;158.8517;174.194;154.1279;CRC Ok;Teste4;59110.0;0.0;217.2376;216.7858;217.9514;374.683;378.0461;375.1057;2108.244;2108.244;60.01594;08:54:31 - 29/08/2025;0.0
-74.0;94.67122;2.44E-4;78.613;158.9375;180.8687;160.9886;CRC Ok;Teste4;59111.0;0.0;217.2376;217.0224;218.2883;375.4954;378.1803;375.1269;2108.244;2108.244;60.0154;08:54:37 - 29/08/2025;0.0
-76.0;90.84855;2.44E-4;78.857;161.4299;179.0406;152.0108;CRC Ok;Teste4;59112.0;0.0;217.1439;216.9812;218.2591;375.4272;377.3425;374.2959;2108.244;2108.244;60.0079;08:54:42 - 29/08/2025;0.0
-77.0;80.4558;2.44E-4;78.857;148.0262;168.1424;140.6334;CRC Ok;Teste4;59113.0;0.0;217.251;217.057;218.262;375.3507;378.1832;375.2616;2108.244;2108.244;60.01103;08:54:48 - 29/08/2025;0.0
-77.0;82.54369;2.44E-4;79.102;147.7197;161.3689;144.837;CRC Ok;Teste4;59114.0;0.0;217.1836;217.1254;218.2504;375.0411;377.6682;374.8364;2108.244;2108.244;60.02617;08:54:54 - 29/08/2025;0.0
-74.0;83.22447;2.44E-4;79.102;144.4514;158.3981;141.3711;CRC Ok;Teste4;59115.0;0.0;216.6314;216.9301;218.06;375.2397;377.5486;374.938;2108.244;2108.244;60.02836;08:54:59 - 29/08/2025;0.0
-77.0;75.03232;2.44E-4;79.346;145.9018;153.5501;133.1603;CRC Ok;Teste4;59116.0;0.0;216.8302;216.7096;218.353;375.6887;378.4005;375.4012;2108.244;2108.244;60.02111;08:55:05 - 29/08/2025;0.0
-77.0;80.84169;2.44E-4;79.346;145.5896;155.5509;137.9967;CRC Ok;Teste4;59117.0;0.0;217.0409;216.8575;218.0827;375.7506;378.2461;375.5392;2108.244;2108.244;60.02741;08:55:11 - 29/08/2025;0.0
-77.0;78.83585;2.44E-4;79.58999999999999;142.164;159.0088;141.101;CRC Ok;Teste4;59117.0;0.0;217.2189;216.9636;218.0676;375.6762;378.3024;375.366;2108.245;2108.245;60.03535;08:55:16 - 29/08/2025;0.0
-77.0;74.60553;2.44E-4;79.58999999999999;141.6864;155.864;135.5562;CRC Ok;Teste4;59118.0;0.0;217.1926;216.9653;218.2739;375.0999;377.7799;375.183;2108.245;2108.245;60.03333;08:55:22 - 29/08/2025;0.0
-77.0;85.33855;2.44E-4;79.834;159.4628;178.3572;152.17;CRC Ok;Teste4;59119.0;0.0;217.1538;216.9235;218.0308;375.3704;377.8359;375.2518;2108.245;2108.245;60.03333;08:55:22 - 29/08/2025;0.0
-79.0;85.95067;2.44E-4;79.834;168.2374;178.6258;155.1099;CRC Ok;Teste4;59120.0;0.0;217.2297;217.0625;218.0083;375.0647;377.6703;374.7621;2108.245;2108.245;60.05174;08:55:28 - 29/08/2025;0.0
-77.0;85.95067;2.44E-4;80.078;167.4853;179.5276;160.5684;CRC Ok;Teste4;59121.0;0.0;216.9776;216.847;218.0198;375.0897;377.814;374.8954;2108.245;2108.245;60.05255;08:55:34 - 29/08/2025;0.0
-79.0;93.15797;2.44E-4;80.322;182.2591;200.4592;168.7006;CRC Ok;Teste4;59122.0;0.0;216.8236;216.7924;217.9996;375.1467;377.4235;374.3529;2108.245;2108.245;60.03151;08:55:39 - 29/08/2025;0.0
